product_id,category,risk_class,primary_risk_driver,scenario,contingency_severity,action_priority,executive_action_score,action_type,action_owner,action_horizon,executive_action,scenario_response,additional_safety_stock_required,lost_sales_exposure,cost_change_vs_optimized,executive_confidence,executive_rationale
P01219,Office Supplies,Critical,Demand Volatility,Combined Stress,Moderate,P2 - High,0.468,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,143,0.0,254.91,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹2,416.88, with lost-sales change of 260 units."
P00280,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.468,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,699,0.0,1086.34,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹7,491.19, with lost-sales change of 807 units."
P00071,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.4671,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 589 units.,Prepare demand response,589,0.0,793.96,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 589 units.
P00218,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4671,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,463,0.0,709.84,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹7,847.07, with lost-sales change of 808 units."
P01434,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.4667,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 184 units.,Prepare demand response,184,11.0,321.81,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 11 units. Recommended contingency buffer is 184 units.
P01551,Accessories,Low,Supplier,Combined Stress,High,P2 - High,0.4664,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 314 units.,Prepare alternate supplier,314,539.0,3660.02,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 539 units. Recommended contingency buffer is 314 units.
P01510,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4652,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,484,176.0,1351.53,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹5,800.97, with lost-sales change of 600 units."
P00891,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4644,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,452,37.0,966.47,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹6,576.22, with lost-sales change of 733 units."
P01959,Personal Care,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4635,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 426 units.,Prepare demand response,426,975.0,5643.99,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 975 units. Recommended contingency buffer is 426 units.
P01612,Office Supplies,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4634,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 650 units.,Prepare demand response,650,1107.0,8633.1,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,107 units. Recommended contingency buffer is 650 units."
P00183,Accessories,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4628,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 418 units.,Prepare demand response,418,1119.0,6768.16,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,119 units. Recommended contingency buffer is 418 units."
P01305,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.462,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 823 units.,Prepare demand response,823,0.0,813.39,Medium,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 823 units.
P00305,Office Supplies,High,Demand Volatility,Combined Stress,High,P2 - High,0.4612,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 816 units.,Prepare demand response,816,394.0,2617.79,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 394 units. Recommended contingency buffer is 816 units.
P01271,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4608,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,115,0.0,247.94,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹3,711.30, with lost-sales change of 387 units."
P00581,Personal Care,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4604,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 341 units.,Prepare demand response,341,508.0,4279.2,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 508 units. Recommended contingency buffer is 341 units.
P01584,Personal Care,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4604,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 392 units.,Prepare demand response,392,626.0,3712.14,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 626 units. Recommended contingency buffer is 392 units.
P00760,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4583,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,217,0.0,445.42,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹5,617.46, with lost-sales change of 616 units."
P00316,Office Supplies,Low,Supplier,Combined Stress,High,P2 - High,0.4582,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 511 units.,Prepare alternate supplier,511,852.0,6750.42,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 852 units. Recommended contingency buffer is 511 units.
P01155,Personal Care,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4576,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 408 units.,Prepare demand response,408,634.0,5204.24,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 634 units. Recommended contingency buffer is 408 units.
P01794,Office Supplies,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4557,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 434 units.,Prepare demand response,434,791.0,5826.32,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 791 units. Recommended contingency buffer is 434 units.
P01054,Office Supplies,Critical,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4555,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,523,0.0,621.91,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹2,983.18, with lost-sales change of 305 units."
P01812,Office Supplies,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4544,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 430 units.,Prepare demand response,430,992.0,5847.52,Medium,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 992 units. Recommended contingency buffer is 430 units.
P00353,Office Supplies,High,Demand Volatility,Combined Stress,High,P2 - High,0.454,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 155 units.,Prepare demand response,155,66.0,539.08,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 66 units. Recommended contingency buffer is 155 units.
